region,city,category,business_name,instagram,website,whatsapp,email,address,notes
Qatar,Doha,Restaurant,Alala,@alaladoha,,+974 3994 2000,,"Gewan Island, Doha","Lebanese Mediterranean fusion."
Qatar,Doha,Restaurant,Blnk,@blnk.qtr,,+974 5101 1149,,"21 High Street, Katara Cultural Village, Doha","Breakfast and midday cafe at Katara."
Qatar,Doha,Restaurant,Barns Qatar,@barns.qatar,,+974 3062 0111,,"West Walk, Doha","Saudi coffee giant with 850 plus branches."
Qatar,Doha,Restaurant,La Maison Ani,@lamaisonanidoha,,+974 4051 2300,,"21 High Street, Katara Cultural Village, Doha","French dining by chef Izu. Katara location."
Qatar,Doha,Restaurant,Oblo,@oblo.qa,,+974 5536 8089,,"West Walk, Doha","Recently opened. Live music with Japanese inspired brunch."
Qatar,Doha,Service,Dot Beauty Salon,@dot_beauty,,+974 5065 0968,dotbeautydoha@gmail.com,"University Street, face to Qatar University, Doha","Multi branch plus home service. 17K IG."
Qatar,Doha,Real Estate,The Loft Bureau,@the_loftbureau,theloftbureau.com,+974 7773 3095,,"Doha, Qatar","Luxury boutique real estate. License #213."
Qatar,Doha,E-commerce,Najla Fashion Boutique,@najlafashionboutique,,+974 3037 5624,,Doha,"Independent Doha boutique. WhatsApp ordering."
Qatar,Doha,E-commerce,Hayya Baladna Qatar,@hayyabaladnaqatar,,+974 7100 0970,,Doha,"Fashion via WA and IG."
Qatar,Doha,E-commerce,Qatar Clothing Store,@qatar_clothing_store,,+974 9633 7674,,Doha,"Independent IG fashion store."
Kuwait,Kuwait City,Restaurant,OFK,@ofk.kuwait,,+965 1858 000,,"Al Hamra Tower and Mall, Kuwait City","61K IG. Immersive fine dining. Al Hamra Tower."
Kuwait,Kuwait City,E-commerce,4 Concept Store,@4conceptstore,,+965 6002 2878,,Kuwait,"Lifestyle concept store."
Kuwait,Kuwait City,E-commerce,THAHAB,@thahabworld,thahab.com,+965 9735 7777,,Kuwait,"Luxury fashion. Hermes, Prada, Gucci. GCC wide."
Kuwait,Kuwait City,E-commerce,The Best A-Line,@the_best.a.line,,+965 9009 7890,,Kuwait,"Kuwaiti fashion designer. Worldwide shipping."
Kuwait,Kuwait City,E-commerce,AlOthman Fashion,@alothmanfashion,alothmanfashion.com,+965 2220 2221,,"Al Hamra Tower and Mall, Kuwait","Est 1956. 291K IG. Kuwait plus Bahrain."
Kuwait,Kuwait City,E-commerce,Sadu House Shop,@saduhouseshop,alsadu.org.kw,+965 2243 2395,,"15 Arabian Gulf St, Kuwait City","Kuwait textile heritage. 44K IG on main account."
Kuwait,Kuwait City,E-commerce,TFK The Fragrance Kitchen,@instatfk,tfk.com.kw,+965 2227 0240,,"Al-Shuhada St, Kuwait City","Premium niche perfumery. 41K IG."
UAE,Dubai,E-commerce,CAS Abaya,@crystalabayastudio,casbasics.com,+971 58 595 9872,,"Baniyas Centre Abu Dhabi and Sheikh Ammar Bin Humaid St Ajman","Mid market abaya. Two stores plus ecom. AED 250 to 800 price range."
UAE,Dubai,E-commerce,Habayeb,@habayebuae,habayeb.com,+971 56 167 1727,,"Dubai Mall, 2F, Shop SF-222-1","Since 1996. 126K IG. AED 3,250 to 4,750 luxury price."
UAE,Dubai,E-commerce,Maison D'Vie,@maisondvie_official,maisondvie.com,+971 4 216 0720,info@maisondvie.com,"Building B8, Dubai Digital Park, Dubai","Luxury multi brand. 23 plus designers. 4 hour Dubai delivery."
UAE,Dubai,E-commerce,BOWBO,@bowbofashionline.ea,,+971 52 410 7847,,Dubai,"Day to night streetwear. Active WhatsApp."
UAE,Dubai,E-commerce,Designers & Us,@designersandus,,+971 54 305 9999,,"Dubai Design District (D3)","Luxury fashion house in D3."
Saudi Arabia,Riyadh,Restaurant,ROKA Riyadh,@rokarestaurant.ksa,rokarestaurant.com,+966 920 012 327,,"Midtown Riyadh","29K IG. Japanese robatayaki. Riyadh plus Al Khobar."
Saudi Arabia,Riyadh,Restaurant,LPM Riyadh,@lpmriyadh,lpmrestaurants.com,+966 9200 11794,info@lpmriyadh.com,"Mandarin Oriental, Al Olaya, Riyadh","37K IG. La Petite Maison. French Mediterranean."
Saudi Arabia,Riyadh,Restaurant,Maiz Riyadh,@maizriyadh,maiz.sa,+966 920 015 513,,"Al Diriyah, Riyadh","Diriyah heritage location. Saudi heritage dining."
Saudi Arabia,Riyadh,E-commerce,HANIA Abayas,@haniacollection,,+966 55 650 9828,,Riyadh,"Luxury Riyadh abaya brand."
Saudi Arabia,Riyadh,Service,FOUR SPA,@4spa,,+966 11 201 4444,,"Aqiq, Takhassusi, Diplomatic Quarter, KAFD, Al Narjis, Riyadh","Five Riyadh locations."
Armenia,Yerevan,E-commerce,InStyle Armenia,@instylearmenia,,+374 95 586 807,,"Sayat Nova 25, Yerevan","47K IG. Worldwide shipping."
Armenia,Yerevan,E-commerce,Antarber Vintage,@antarber.vintage,,+374 99 103 392,,"4 Pushkin St, Yerevan","Vintage boutique."
Armenia,Yerevan,E-commerce,Bazaar Concept Store,@bazaar_yerevan,,+374 96 202 423,,"4 Pushkin St, Yerevan","Concept store."
Armenia,Yerevan,E-commerce,Soncess,@soncess__,,+374 93 100 303,,"Baghramyan str 22, Yerevan","Independent Yerevan boutique."
Armenia,Yerevan,E-commerce,Nairian,@nairian.us,nairian.com,+374 60 445 445,connect@nairian.com,"34 Tumanyan St, Yerevan","Hand harvested eco farm cosmetics. US facing brand."
Armenia,Yerevan,E-commerce,Faina Brand,@faina_official,,+374 91 050 980,,"Tsitsernakaberd Highway 1/3, Yerevan","Armenian evening and bridal designer."
Armenia,Yerevan,Restaurant,EL Garden Restaurant,@el__garden,,+374 41 49 00 00,,"Tsitsernakaberd 8, Yerevan","Garden restaurant in Yerevan."
Armenia,Yerevan,Service,nail__room,@nail__room,,+374 12 525 505,,"Sayat-Nova 18, Yerevan","12 years in Yerevan. Sayat Nova location."
